113
2606.05 1445.73 -211.875,1 32,stand,,,
2574.41 954.335 -211.875,0 2,stand,,,
2139.89 895.813 -211.875,1 3 33,stand,,,
1985.18 900.248 -211.875,2 4 38,stand,,,
1979.79 547.852 -211.88,3 5 33,stand,,,
1701.11 391.592 -222.781,4 6 34 43 44,stand,,,
1405.32 230.131 -238.565,5 7 44,stand,,,
1136.02 -34.279 -243.333,6 8 47,stand,,,
779.781 -32.4219 -230.32,7 9 47,stand,,,
507.747 -9.99995 -219.999,8 10,stand,,,
506.471 -151.799 -227.911,9 11,stand,,,
195.883 -156.704 -232.869,10 12 77,stand,,,
-147.589 98.0694 -220.751,11 13 77,stand,,,
-363.937 428.206 -238.089,12 14 78 79,stand,,,
-654.581 373.714 -220.985,13 15 103,stand,,,
-885.16 685.475 -211.875,14 16 101 102,stand,,,
-1018.27 930.036 -233.875,15 17 101,stand,,,
-1381.52 934.252 -233.875,16 18,stand,,,
-1383.33 1313.84 -233.875,17 19 99,stand,,,
-1389.4 1741.12 -233.875,18 20 100,stand,,,
-1024.09 1780.6 -183.682,19 21 100,stand,,,
-533.83 1801.88 -45.6611,20 22,stand,,,
-74.7035 1787.66 -49.2301,21 23 81,stand,,,
151.4 1787.63 -48.4463,22 24,stand,,,
344.562 1652.52 -51.7412,23 25,stand,,,
642.449 1666.28 -49.4901,24 26 56,stand,,,
1111.98 1636.78 -120.516,25 27 104,stand,,,
1346.79 1627.68 -172.931,26 28 40 76,stand,,,
1560.95 1628.35 -218.673,27 29 37,stand,,,
1531.56 1784.24 -229.03,28 30 76,stand,,,
1865.23 1774.53 -239.124,29 31,stand,,,
2194.06 1756.73 -243.913,30 32,stand,,,
2226.93 1394.56 -212.569,31 0 35,stand,,,
2161.97 609.565 -211.875,2 34 4,stand,,,
2018.67 274.033 -211.875,33 5,stand,,,
1855.58 1314.67 -211.875,32 36 38,stand,,,
1802 1536.88 -211.875,35 37,stand,,,
1596.36 1510.13 -227.889,36 28 39 40,stand,,,
1948.93 1156.82 -211.875,35 3 39,stand,,,
1614.39 1153.14 -219.401,38 37 41,stand,,,
1374.95 1484.73 -237.334,37 27 41,stand,,,
1370.33 1097.12 -232.961,40 39 42 108,stand,,,
1359.55 710.234 -227.788,41 43 44 45,stand,,,
1563.4 688.45 -225.592,42 5,stand,,,
1356.72 444.874 -239.875,5 42 46 6,stand,,,
1142.59 663.15 -245.875,42 46 51 70,stand,,,
1128 364.15 -240.361,45 44 47 51 52,stand,,,
799.87 197.766 -245.904,46 8 7 48 77,stand,,,
810.205 470.156 -235.235,47 49 51,stand,,,
670.595 483.038 -238.873,48 50,stand,,,
699.346 679.754 -235.356,49 51 69,stand,,,
917.154 612.786 -230.332,50 48 46 45,stand,,,
756.177 370.807 -111.375,46 60,crouch,,,
749.407 751.212 -3.875,54 55 58 60,stand,,,
984.233 755.307 -21.875,53,stand,,,
740.088 1079.44 -18.6745,53 56,stand,,,
634.294 1079.43 3.125,55 57 25,stand,,,
417.706 1078.19 2.7189,56 58,stand,,,
426.307 763.408 8.01771,57 59 53,stand,,,
175.186 772.328 -18.2041,58,stand,,,
750.41 507.034 -111.375,53 52 66,stand,,,
393.99 488.412 -133.514,62 66,stand,,,
360.295 488.366 -133.875,61 63,climb,-0.0891113 -1.71936 0,,
316.403 491.408 -238.022,62 64,climb,-0.380249 1.52161 0,,
293.378 491.397 -237.515,63 65 77 78,stand,,,
288.759 654.862 -239.875,64 69 78,stand,,,
587.735 492.858 -123.418,61 60 67,stand,,,
582.372 604.951 -159.875,66 68,climb,-5.05493 -93.2135 0,,
580 641.39 -229.082,67 69,climb,7.28821 -92.5433 0,,
580.009 654.062 -229.767,68 50 65,stand,,,
1088.15 1071.72 -240.616,45 71 73 108,stand,,,
713.207 980.233 -204.174,70 72,stand,,,
708.135 1188.68 -219.263,71 73 92,stand,,,
855.626 1265.15 -234.027,72 70 74,stand,,,
844.961 1521.12 -241.81,73 75 110,stand,,,
867.965 1776.65 -231.965,74 76 111,stand,,,
1324.54 1775.42 -219.466,75 27 29,stand,,,
291.364 231.233 -239.875,47 64 11 78 12,stand,,,
-26.5828 545.816 -238.699,64 13 80 65 77,stand,,,
-394.344 743.624 -237.474,13 80,stand,,,
-81.6225 792.062 -246.71,79 78 93 94,stand,,,
-110.924 1613.39 -129.192,22 82 84,stand,,,
-5.88204 1521.12 -127.188,81 83,stand,,,
-107.482 1420.18 -127.946,82 84,stand,,,
-191.948 1536.31 -129.072,83 81 85,stand,,,
-246.907 1522.87 -129.85,84 86,climb,5.85449 6.32263 0,,
-318.098 1495.13 -235.992,85 87,climb,-2.81372 8.34412 0,,
-326.789 1495.11 -235.979,86 88 94 97,stand,,,
-309.637 1756.92 -239.386,87 89,stand,,,
146.179 1751.09 -234.287,88 90,stand,,,
183.514 1535.33 -223.194,89 91 110,stand,,,
214.313 1293.15 -230.376,90 96 93 112,stand,,,
