85
-620.079 -126.028 196.89,1 25 75,stand,,,
-702.762 -282.504 192.434,0 2,stand,,,
-719.237 -587.184 199.725,1 38 73,stand,,,
-228.83 -590.442 196.605,4 38 36,stand,,,
197.13 -517.064 192.077,3 5 27,stand,,,
453.886 -586.172 193.314,4 6 26,stand,,,
658.928 -582.484 199.725,5 7 44,stand,,,
641.269 -362.832 192.083,6 8 26,stand,,,
654.735 -129.902 192.091,7 9 47,stand,,,
439.04 -99.5199 194.359,8 10 26,stand,,,
439.674 45.8541 193.014,9 11 29 31,stand,,,
449.902 267.177 193.16,10 12 35 31,stand,,,
697.337 277.811 192.107,11 13 45,stand,,,
688.533 535.071 194.929,12 14 35,stand,,,
675.569 730.961 193.597,13 15 54,stand,,,
514.588 746.919 192.074,14 16 35,stand,,,
267.885 743.71 196.877,15 17,stand,,,
211.788 586.591 197.334,16 18 34 35,stand,,,
-135.858 743.555 199.374,17 19 33,stand,,,
-428.645 711.579 192.645,18 20 39,stand,,,
-681.602 728.178 198.336,19 21 63,stand,,,
-691.159 515.803 192.481,20 22 39,stand,,,
-703.595 283.467 203.789,21 23 79,stand,,,
-471.812 279.935 195.148,22 24 39,stand,,,
-467.516 61.9155 192.077,23 29 83,stand,,,
-490.013 -147.907 192.077,0 37 83,stand,,,
404.166 -296.141 196.124,9 7 5 27,stand,,,
179.993 -282.173 192.565,26 4 28,stand,,,
-11.9686 -299.794 194.846,27 36 84,stand,,,
3.89531 52.3469 196.736,30 10 24 84,stand,,,
6.12919 194.278 194.294,29 31 32,stand,,,
276.125 180.321 201.125,30 11 10,stand,,,
3.54935 396.17 192.492,30 33 34,stand,,,
-195.337 422.622 196.074,32 39 18,stand,,,
195.783 399.768 195.54,32 17 35,stand,,,
436.087 429.827 192.077,34 11 13 15 17,stand,,,
-225.679 -294.882 192.376,28 37 3,stand,,,
-407.436 -286.456 202.332,36 25 38,stand,,,
-518.125 -579.692 192.816,37 2 3,stand,,,
-375.487 437.212 194.418,23 33 19 21,stand,,,
2025.97 -517.198 192.125,41 59,stand,,,
1467.4 -532.27 194.169,40 42,stand,,,
1466.17 -371.041 193.194,41 43 62,stand,,,
1038.09 -384.742 192.557,42 44 51,stand,,,
1023.05 -530.183 192.125,43 6,stand,,,
945.378 319.017 192.419,12 46 53 54,stand,,,
963.131 32.1251 194.551,45 47 51 52,stand,,,
782.403 -86.344 197.367,46 8 48,stand,,,
769.707 187.133 324.125,47 49,stand,,,
616.766 185.265 324.125,48 50,stand,,,
639.593 29.6557 324.125,49,stand,,,
1089.57 -97.3956 193.451,43 46 62,stand,,,
1210.04 122.125 192.358,46 53 61,stand,,,
1117.5 417.318 192.125,52 45 55,stand,,,
875.353 734.602 192.448,45 14,stand,,,
1335.75 641.292 192.125,53 56,stand,,,
1606.4 581.137 192.125,55 57 60,stand,,,
1811.03 571.335 192.125,56 58,stand,,,
2066.01 425.637 192.125,57 59,stand,,,
2019.24 83.9163 192.125,58 40 60,stand,,,
1599.6 138.424 191.396,59 61 56,stand,,,
1457.82 89.405 192.125,60 52 62,stand,,,
1446.64 -123.86 193.648,61 42 51,stand,,,
-946.43 705.196 193.796,20 64,stand,,,
-1048.27 371.155 193.951,63 65 79 80,stand,,,
-1302.73 587.611 190.097,64 66,stand,,,
-1603.54 627.129 183.775,65 67 82,stand,,,
-2096.17 406.04 192.125,66 68,stand,,,
-2026.21 64.5417 192.125,67 69 82,stand,,,
-1984.92 -535.71 192.125,68 70,stand,,,
-1512.78 -532.514 192.125,69 71,stand,,,
-1521.43 -354.801 192.992,70 72 81,stand,,,
-1076.28 -345.719 192.125,71 73 74,stand,,,
-1052.81 -541.585 199.426,72 2,stand,,,
-1089.18 2.40356 187.904,72 75 79 81,stand,,,
-831.465 -86.1712 198.123,74 76 0,stand,,,
-808.38 185.993 324.125,75 77,stand,,,
-646.857 154.506 324.125,76 78,stand,,,
-664.71 10.9477 324.125,77,stand,,,
-876.227 258.675 199.656,74 22 64,stand,,,
-1265.17 245.717 194.318,64 81,stand,,,
-1477.95 59.1839 190.516,80 71 74 82,stand,,,
-1656.02 117.647 190.447,81 68 66,stand,,,
-488.853 -44.8883 192.077,24 25 84,stand,,,
-1.94602 -66.4622 196.525,83 29 28,stand,,,
